date,name,count,loc,coord,link,source,record
2019-09-29,#Отпускай,25200,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/1178322771773972480,Twitter+FB,
2019-08-17,#КПРФзаВыборы,4200,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/1162687792771715073,Twitter+FB,
2019-08-10,#митингЗАсвободу,50000,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/1160226559476871168,Twitter+FB,
2019-07-20,#ЗаДопускНаВыборы,22500,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/1152571242291089408,Twitter+FB,
2019-06-23,#ОбществоТребуетСправедливости,3900,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/1142836341874548737,Twitter+FB,
2019-06-07,#свободуГолунову,250,"Петровка ул., 38, Москва, Россия, 127006","55.769443, 37.612901",https://twitter.com/Pantarktik/status/1137075589133848577,Twitter,
2019-03-10,#ПротивИзоляцииРунета,15300,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/1104742123562299393,Twitter+FB,
2019-03-08,8 марта - отметим правильно,250,"Митьковский пр-д, 2, Москва, Россия, 107113","55.793016, 37.668104",https://twitter.com/WhiteCounter/status/1104004471103909889,Twitter,
2019-02-24,#маршНемцова,10800,"Страстной бульвар, Москва, Россия","55.766813, 37.609243",https://twitter.com/WhiteCounter/status/1099646943125475333,Twitter+FB,
2018-12-23,Останови Ликсутова,2900,"Митьковский пр-д, 2, Москва, Россия, 107113","55.793016, 37.668104",https://twitter.com/WhiteCounter/status/1076824911019233281,Twitter+FB,
2018-12-23,Народ против строительного произвола,1750,"1905 Года улица, Москва, Россия","55.764039, 37.560930",https://twitter.com/WhiteCounter/status/1076818442710368257,Twitter+FB,
2018-09-04,В защиту Воронцовского парка,120,"метро Новые Черёмушки, Москва, Россия","55.670433, 37.554746",https://twitter.com/WhiteCounter/status/1037019543460294657,Twitter,
2018-09-02,#ПротивПенсионнойРеформы,8900,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/1036205976217690112,Twitter+FB,
2018-07-29,#ПротивГрабежа,6200,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://www.facebook.com/WhiteCounter/posts/2028530163825325,Twitter+FB,
2018-07-28,#ПротивПенсионнойРеформы,12000,"ул. Маши Порываевой, Москва, Россия","55.774213, 37.649078",https://twitter.com/WhiteCounter/status/1023158916727951361,Twitter+FB,
2018-05-13,#ЗаИнтернет,2400,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/995648510925172736,Twitter+FB,
2018-04-30,За #Telegram,12300,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/990935627523903488,Twitter+FB,
2018-02-25,#МаршНемцова,7600,"Пушкинская, Москва, Россия","55.765545, 37.605552",https://twitter.com/WhiteCounter/status/967724272960630785,Twitter+FB,
2017-06-12,#ПротивКоррупции,,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://www.facebook.com/WhiteCounter/posts/1559440497400963,-,
2017-05-28,#ПротивЗастройки,4900,"ул. Вавилова, Москва, Россия","55.693605, 37.564800",https://twitter.com/WhiteCounter/status/868815706082738177,Twitter+FB,
2017-05-14,#нетреновации,20200,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://twitter.com/WhiteCounter/status/863739593551732736,Twitter+FB,
2017-05-06,#6мая,2800,"проспект Академика Сахарова, Москва, Россия","55.770665, 37.644117",https://www.facebook.com/WhiteCounter/posts/1523936457618034,Twitter+FB,
2017-04-08,#НоваяОппозиция,590,"1905 Года улица, Москва, Россия","55.764039, 37.560930",https://twitter.com/WhiteCounter/status/850701103998042112,Twitter+FB,
